artist,genre,averagePopularity,popularityTier
!nvite,study,23.0,2
"""Cats"" 1983 Broadway Cast",show-tunes,26.666666666666668,2
"""Little"" Jimmie Dickens",honky-tonk,11.0,1
"""Pepo"" San Martín",tango,21.0,2
"""Puppy Dog Pals"" Cast",children,57.5,5
"""Sax"" Maldita Vecindad",ska,41.0,4
"""The Phantom Of The Opera"" 1990 German Cast",show-tunes,22.666666666666668,2
"""Weird Al"" Yankovic",comedy,26.333333333333332,2
#Kids,children,34.0,3
$NOT,sad,63.0,6
$affie,study,41.0,4
$pyda,drum-and-bass,59.0,5
&ME,deep-house,50.333333333333336,5
&ME,electronic,52.0,5
&ME,minimal-techno,38.666666666666664,3
&ME,techno,41.0,4
&ME,trip-hop,44.0,4
'Bat Out Of Hell' Original Cast,show-tunes,24.0,2
'Be More Chill' Ensemble,show-tunes,41.0,4
'Dogfight' Original Cast Ensemble,show-tunes,25.0,2
'Falsettos' 2016 Broadway Company,show-tunes,30.0,3
'Legally Blonde' Ensemble,show-tunes,54.0,5
'Little Women' Original Broadway Cast,show-tunes,25.76923076923077,2
'Songs for a New World' 2018 Encores! Off-Center Company,show-tunes,24.0,2
'The Drowsy Chaperone' Original Broadway Cast,show-tunes,31.0,3
'Til Tuesday,synth-pop,28.0,2
( Me Llamo ) Sebastián,electronic,35.0,3
((( O ))),soul,63.0,6
(DOLCH),black-metal,22.0,2
(G)I-DLE,k-pop,72.2,7
(Hed) P.E.,industrial,24.42105263157895,2
-M-,french,35.75,3
0-600,latino,39.5,3
04 Limited Sazabys,j-rock,32.0,3
070 Shake,edm,69.0,6
070 Shake,electro,69.0,6
070 Shake,emo,54.0,5
070 Shake,house,69.0,6
070 Shake,progressive-house,69.0,6
070 Shake,punk,54.0,5
070 Shake,punk-rock,53.0,5
1 Trait Danger,comedy,21.0,2
10 Years,grunge,43.5,4
10-FEET,j-rock,33.0,3
10-FEET,ska,34.0,3
100 Blaze,french,0.0,0
100 gecs,grunge,51.0,5
1000volts,breakbeat,43.0,4
1019,german,38.0,3
102 Boyz,german,39.333333333333336,3
10cc,blues,35.0,3
10cc,folk,0.0,0
10cc,singer-songwriter,0.0,0
10cc,songwriter,0.0,0
10cm,indie-pop,61.0,6
110,turkish,41.0,4
112,hardcore,62.0,6
11:11 Music Group,chill,36.72727272727273,3
11:11 Music Group,sad,37.07692307692308,3
12 Stones,grunge,53.333333333333336,5
12 Stones,hard-rock,58.0,5
1200 Micrograms,trance,35.666666666666664,3
1280 Almas,punk-rock,37.0,3
12AM,soul,47.0,4
12th Planet,dub,46.0,4
12th Planet,dubstep,44.333333333333336,4
13 Block,french,32.0,3
1349,black-metal,18.0,1
13th Floor Elevators,garage,54.0,5
13,club,19.0,1
14 Bis,brazil,43.0,4
14 Bis,mpb,43.0,4
16 Bit,breakbeat,33.0,3
163,turkish,38.0,3
16BL,trance,46.0,4
16bars,malay,27.0,2
175R,j-rock,35.5,3
175R,punk,39.0,3
175R,punk-rock,39.0,3
1782,heavy-metal,19.0,1
1788-L,club,35.0,3
1979,electronic,59.0,5
1986zig,german,0.0,0
1988,electronic,35.0,3
1991,drum-and-bass,38.4,3
1995,french,33.0,3
19,j-pop,37.0,3
19,j-rock,36.0,3
1Biggs Don,dancehall,33.0,3
1Biggs Don,j-dance,33.0,3
1Kilo,brazil,44.0,4
1PLIKÉ140,french,0.0,0
1mpakt,j-dance,21.0,2
1nonly,sad,51.0,5
2 Best Enemies,hardstyle,22.0,2
2 Blyga Läppar,swedish,40.75,4
2 Brothers On The 4th Floor,happy,25.181818181818183,2
2 Brothers On The 4th Floor,hardcore,30.0,3
2 Chainz,electronic,51.0,5
2 Engel & Charlie,party,2.0,0
2 minutos,punk,41.0,4
2 minutos,punk-rock,38.0,3
2 minutos,ska,36.285714285714285,3
20 Fingers,chicago-house,6.0,0
2002,new-age,22.166666666666668,2
2016 Broadway Cast,show-tunes,23.0,2
21 Savage,dancehall,67.0,6
21 Savage,electro,65.0,6
21 Savage,electronic,56.0,5
21 Savage,hip-hop,91.0,9
22 Void Beats,electronic,37.0,3
220 KID,house,68.0,6
220 KID,synth-pop,49.0,4
220 KID,trance,48.0,4
22Gz,r-n-b,4.733333333333333,0
22ViZz,emo,36.0,3
22ViZz,sad,36.0,3
23Till,swedish,35.0,3
24SJU,goth,23.0,2
24hrs,electronic,60.0,6
24h,progressive-house,31.333333333333332,3
24h,trance,33.0,3
